Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  74.48  75.19  74.2  74.7  7444600  74.7
2014-02-27  74.78  74.78  74.09  74.56  5448200  74.56
2014-02-26  73.94  75.1  73.79  74.78  9022200  74.78
2014-02-25  73.18  73.74  73.09  73.35  9482700  73.35
2014-02-24  73.24  73.82  73.14  73.35  7321500  73.35
2014-02-21  73.19  73.4  72.82  73.12  8971000  73.12
2014-02-20  73.05  74.0  72.81  73.52  13079100  73.52
2014-02-19  75.01  75.32  74.41  74.85  8130300  74.85
2014-02-18  75.49  75.65  74.86  75.33  5993800  75.33
2014-02-14  75.4  75.99  75.1  75.79  4908900  75.79
2014-02-13  74.68  75.49  74.56  75.36  5250200  75.36
2014-02-12  74.22  75.18  74.22  74.96  5339800  74.96
2014-02-11  73.9  74.85  73.67  74.8  6511200  74.8
2014-02-10  73.59  73.76  72.96  73.76  6204100  73.76
2014-02-07  73.05  73.8  72.5  73.75  7287600  73.75
2014-02-06  72.97  73.21  72.5  72.82  7353100  72.82
2014-02-05  72.27  73.16  72.27  72.87  4774300  72.87
2014-02-04  72.67  73.1  72.3  72.73  7755500  72.73
2014-02-03  74.19  74.5  72.54  72.66  10430700  72.66
2014-01-31  73.92  75.19  73.64  74.68  10544800  74.68
2014-01-30  74.54  75.09  74.36  74.75  6732900  74.75
2014-01-29  75.29  75.37  74.07  74.1  8433700  74.1
2014-01-28  74.26  75.4  74.1  74.67  6023400  74.67
2014-01-27  74.13  74.37  73.83  74.15  9088700  74.15
2014-01-24  74.73  75.12  74.23  74.42  9332800  74.42
2014-01-23  74.84  75.12  74.47  74.96  6006300  74.96
2014-01-22  76.08  76.08  75.03  75.35  5853700  75.35
2014-01-21  76.25  76.39  74.86  75.84  8971100  75.84
2014-01-17  76.73  76.82  76.03  76.19  11440700  76.19
2014-01-16  77.39  77.47  76.35  76.76  7201500  76.76
2014-01-15  77.96  78.1  77.57  77.66  4992400  77.66
2014-01-14  77.46  78.0  77.38  77.96  4088200  77.96
2014-01-13  77.6  77.97  77.24  77.49  6157900  77.49
2014-01-10  78.31  78.72  77.54  78.04  5181300  78.04
2014-01-09  78.39  78.4  77.49  78.09  5916300  78.09
2014-01-08  78.5  78.51  77.6  77.83  5955200  77.83
2014-01-07  78.17  78.85  77.92  78.45  5012300  78.45
2014-01-06  78.86  78.91  77.79  78.21  7280200  78.21
2014-01-03  78.81  79.13  78.52  78.65  4957400  78.65
2014-01-02  78.72  79.47  78.5  78.91  6878000  78.91
2013-12-31  78.66  78.87  78.35  78.69  3859100  78.69
2013-12-30  78.61  78.88  78.43  78.63  3086500  78.63
2013-12-27  78.6  78.93  78.3  78.47  3050000  78.47
2013-12-26  78.06  78.52  77.97  78.39  2778200  78.39
2013-12-24  77.95  78.24  77.63  78.01  2094900  78.01
2013-12-23  77.73  77.99  77.37  77.87  4491900  77.87
2013-12-20  77.28  77.88  77.25  77.43  9568800  77.43
2013-12-19  77.67  77.83  77.2  77.24  5955400  77.24
2013-12-18  77.28  77.98  76.81  77.94  10633700  77.94
2013-12-17  77.74  77.89  77.22  77.25  5765400  77.25
2013-12-16  78.25  78.5  77.6  77.74  6146900  77.74
2013-12-13  78.73  78.77  77.93  78.08  4981200  78.08
2013-12-12  79.11  79.26  78.4  78.5  5691600  78.5
2013-12-11  79.1  79.72  79.05  79.09  5998800  79.09
2013-12-10  79.72  79.8  79.05  79.08  6285700  79.08
2013-12-09  80.24  80.43  79.7  79.95  4491600  79.95
2013-12-06  79.71  80.23  79.64  79.94  5088100  79.94
2013-12-05  79.72  79.77  78.87  79.44  6450000  79.44
2013-12-04  80.64  81.37  79.91  80.22  7641200  80.22
2013-12-03  80.74  80.86  80.23  80.74  7506400  80.74
