Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  61.42  62.05  60.67  61.37  1718200  61.37
2014-02-27  61.96  62.31  61.03  61.21  2017900  61.21
2014-02-26  62.18  62.89  61.82  62.18  1078700  62.18
2014-02-25  62.56  62.66  61.87  62.16  1301100  62.16
2014-02-24  62.43  63.07  62.24  62.45  1831400  62.45
2014-02-21  60.64  62.25  60.63  62.08  2256200  62.08
2014-02-20  59.91  60.95  59.48  60.68  1749600  60.68
2014-02-19  60.44  60.98  59.7  59.89  1975100  59.89
2014-02-18  60.66  61.43  60.36  60.74  1838200  60.74
2014-02-14  59.38  60.28  58.92  60.18  1839200  60.18
2014-02-13  57.62  59.46  57.41  59.28  2531000  59.28
2014-02-12  57.73  58.14  57.36  57.95  1630700  57.95
2014-02-11  55.91  57.97  55.88  57.48  2624900  57.48
2014-02-10  55.31  56.4  54.91  56.1  2105200  56.1
2014-02-07  54.08  55.8  53.84  55.46  2185900  55.46
2014-02-06  53.14  53.89  52.95  53.6  2336500  53.6
2014-02-05  56.25  56.48  51.65  53.21  7120400  53.21
2014-02-04  55.8  56.79  54.83  56.6  3492200  56.6
2014-02-03  56.75  57.35  55.44  55.66  3445900  55.66
2014-01-31  55.5  56.98  55.24  56.89  1839000  56.89
2014-01-30  54.36  56.49  54.2  56.27  1720400  56.27
2014-01-29  54.36  55.37  53.88  54.05  1616000  54.05
2014-01-28  53.97  55.04  53.92  54.9  1067400  54.9
2014-01-27  54.77  54.96  53.64  54.14  1539900  54.14
2014-01-24  56.11  56.18  54.7  54.71  1651100  54.71
2014-01-23  56.72  57.21  55.85  56.49  1121900  56.49
2014-01-22  57.08  57.58  56.63  57.02  1524500  57.02
2014-01-21  56.0  56.27  55.41  55.9  1087700  55.9
2014-01-17  55.27  55.89  54.51  55.74  1946300  55.74
2014-01-16  55.38  55.62  55.1  55.39  1118100  55.39
2014-01-15  55.07  55.77  54.92  55.52  1448800  55.52
2014-01-14  54.06  55.5  53.87  55.07  2135800  55.07
2014-01-13  54.67  55.36  53.64  53.83  1734300  53.83
2014-01-10  55.34  55.48  54.29  55.18  1274300  55.18
2014-01-09  54.54  55.36  54.54  55.02  1413700  55.02
2014-01-08  55.07  55.19  54.21  54.32  1664900  54.32
2014-01-07  54.66  55.39  54.46  55.26  1565400  55.26
2014-01-06  54.67  55.1  54.15  54.2  1465500  54.2
2014-01-03  55.08  55.35  54.61  54.7  1039100  54.7
2014-01-02  55.48  55.6  54.82  55.07  1111400  55.07
2013-12-31  55.75  56.1  55.55  55.74  676100  55.74
2013-12-30  55.63  55.83  55.37  55.76  567500  55.76
2013-12-27  55.87  55.87  55.31  55.58  1177400  55.58
2013-12-26  55.57  55.75  55.31  55.67  476200  55.67
2013-12-24  55.24  55.47  55.08  55.38  458400  55.38
2013-12-23  54.98  55.35  54.67  55.31  1124200  55.31
2013-12-20  54.93  54.97  54.41  54.67  2235500  54.67
2013-12-19  55.45  55.68  54.34  54.69  1210500  54.69
2013-12-18  54.84  55.82  53.72  55.76  1699000  55.76
2013-12-17  54.18  55.06  54.06  54.93  1829600  54.93
2013-12-16  54.39  54.66  53.87  54.32  1212700  54.32
2013-12-13  54.5  54.82  53.92  54.17  930300  54.17
2013-12-12  54.5  54.86  53.83  54.03  1365400  54.03
2013-12-11  55.82  56.34  54.52  54.6  2945800  54.6
2013-12-10  56.79  57.22  55.75  55.86  1672400  55.86
2013-12-09  57.49  57.65  56.51  56.71  1386100  56.71
2013-12-06  56.8  57.52  56.51  57.42  1222600  57.42
2013-12-05  56.5  56.96  56.01  56.09  1367300  56.09
2013-12-04  57.05  57.43  55.81  56.4  1449300  56.4
2013-12-03  57.51  57.67  56.79  57.45  1517200  57.45
2013-12-02  57.59  58.08  57.4  57.68  884800  57.68
2013-11-29  57.71  58.08  57.28  57.47  463400  57.47
2013-11-27  57.7  58.05  57.25  57.65  655500  57.65
2013-11-26  58.06  58.36  57.47  57.68  1187000  57.68
2013-11-25  58.09  58.46  57.95  58.24  1343100  58.24
2013-11-22  57.96  58.03  57.52  57.96  1044800  57.96
2013-11-21  56.3  57.9  56.03  57.69  1490900  57.69
2013-11-20  56.36  56.62  55.7  55.95  1069600  55.95
2013-11-19  56.48  56.57  55.82  56.15  771900  56.15
2013-11-18  57.39  57.46  56.38  56.64  616100  56.64
2013-11-15  57.09  57.6  56.82  57.34  1004900  57.34
2013-11-14  56.94  57.19  56.5  57.09  754400  57.09
2013-11-13  56.53  56.79  55.96  56.78  615000  56.78
2013-11-12  56.26  56.97  56.01  56.47  848300  56.47
2013-11-11  56.7  56.87  56.11  56.39  862900  56.39
2013-11-08  55.99  57.09  55.95  57.04  1136600  57.04
2013-11-07  56.48  56.75  55.59  56.08  1738000  56.08
2013-11-06  56.06  56.52  55.95  56.45  912700  56.45
2013-11-05  56.21  56.39  55.75  55.9  984000  55.9
2013-11-04  56.21  56.55  55.86  56.49  887400  56.49
2013-11-01  56.31  56.52  55.7  56.17  1282600  56.17
2013-10-31  56.13  56.55  55.76  56.03  1645100  56.03
2013-10-30  56.19  56.82  55.83  55.88  1442700  55.88
2013-10-29  56.86  57.23  56.0  56.17  1492100  56.17
2013-10-28  55.93  56.58  55.89  56.54  1586500  56.54
2013-10-25  55.55  57.2  54.44  56.13  3494300  56.13
2013-10-24  59.04  59.09  57.64  57.76  2954600  57.76
2013-10-23  57.89  58.42  57.24  58.0  1982300  58.0
2013-10-22  58.62  59.42  57.57  58.19  1668600  58.19
2013-10-21  57.91  58.13  57.36  58.07  1219500  58.07
2013-10-18  57.18  57.8  56.8  57.77  1636100  57.77
2013-10-17  55.86  57.35  55.86  57.12  1305600  57.12
2013-10-16  55.45  56.57  55.38  56.51  1222800  56.51
2013-10-15  55.74  55.94  54.87  55.22  1133600  55.22
2013-10-14  54.15  55.98  54.02  55.95  1549500  55.95
2013-10-11  54.27  54.93  54.12  54.68  1196500  54.68
2013-10-10  53.05  54.6  52.97  54.51  1442900  54.51
2013-10-09  53.18  53.49  52.55  52.7  1517800  52.7
2013-10-08  54.29  54.71  52.98  53.17  1434500  53.17
2013-10-07  54.32  54.65  53.96  54.19  1162800  54.19
2013-10-04  53.66  54.82  53.53  54.71  1953600  54.71
2013-10-03  53.53  53.71  52.5  53.57  1723300  53.57
2013-10-02  53.55  53.94  53.0  53.78  1424700  53.78
2013-10-01  52.52  53.99  52.35  53.97  2188000  53.97
2013-09-30  52.0  52.98  51.37  52.55  2855200  52.55
2013-09-27  48.55  55.07  48.5  52.61  6853200  52.61
2013-09-26  49.02  49.37  48.58  48.73  1258500  48.73
2013-09-25  49.01  49.11  48.61  48.99  1120300  48.99
2013-09-24  49.34  49.49  48.81  48.89  1055000  48.89
2013-09-23  49.53  49.73  48.88  49.26  1266800  49.26
2013-09-20  49.9  50.25  49.7  49.82  2221600  49.82
2013-09-19  49.69  49.99  49.31  49.87  780000  49.87
2013-09-18  49.46  49.61  48.81  49.57  1208200  49.57
2013-09-17  49.81  49.85  49.31  49.48  895600  49.48
2013-09-16  49.5  49.98  49.38  49.66  1801300  49.66
2013-09-13  48.73  49.05  48.53  48.98  1325600  48.98
2013-09-12  48.39  49.0  48.33  48.59  1907300  48.59
2013-09-11  48.13  48.84  48.12  48.53  1200400  48.53
2013-09-10  47.65  48.4  47.55  48.14  1469300  48.14
